id;code_id;sigle;raison_sociale
1;withdrawal reintermediate;Buckinghamshire functionalities Glen;transmitter Pula
2;Denmark Web;Configuration e-markets;Danish Krone Fresh
3;solid state hack;deposit;Cayman Islands Dollar synthesize
4;hard drive SSL;PNG;Rapid
5;Louisiana Berkshire;Puerto Rico Communications user-facing;Engineer B2C Electronics
6;Reactive;auxiliary solid state Mississippi;interactive South Dakota
7;Tuvalu Heights;Bike Belarussian Ruble;projection
8;Grocery override cyan;Buckinghamshire;Maine Circles multi-byte
9;invoice;Fantastic Internal Landing;uniform
10;composite;THX optical;Shirt
