id;code;num_enreg;nature_beneficiaire;pays_residence;ville;statut_juridique;sexe_beneficiaire;secteur_activite;taille_entreprise;montant_max_autorise;montant_max_utilise;solde_compte;taux_interet
1;non-volatile solid state Phased;Incredible Rubber Mouse salmon payment;Buckinghamshire Uzbekistan Sum;86076;24274;46169;Small Fresh Gloves navigate models;payment Viaduct;Kentucky Place digital;7832;72877;18010;27361
2;world-class SMTP maximize;e-business portal Business-focused;Horizontal neural Generic;19179;64506;99867;Awesome;Belize Mouse;efficient Optional Practical;90689;23909;82350;56026
3;copying Checking Account Health;Fish;compressing Designer Bedfordshire;8919;6996;73895;Clothing;Florida Isle models;attitude;63557;22924;61871;51903
4;action-items;maroon;USB;27415;81338;81776;intermediate Organic;deliverables Computers;protocol;53069;76890;389;52159
5;panel deposit;red;Outdoors;10080;59416;6323;responsive;Rustic Fresh Chips client-driven maximize;Rustic;56980;19411;57493;66349
6;Cross-group Mexican Peso Mexican Unidad de Inversion (UDI) South Dakota;Toys Borders;SDD revolutionary;1148;42984;14931;seize;holistic Checking Account;convergence;28527;84370;89747;72419
7;Savings Account interface Bedfordshire;neural Checking Account Avon;Tasty Shoes;29390;18834;42647;driver grid-enabled;Road transparent Locks;XSS Berkshire;10308;39151;15284;82733
8;Response primary Investor;Unbranded Malta maximize;Technician invoice;4219;1799;66962;Shoes Diverse;Analyst parse;calculate;44741;31110;41030;84541
9;Handcrafted Games;wireless Sleek Rubber Pants dynamic;optical Kina;83381;96510;39764;reintermediate;Armenian Dram platforms;Automotive protocol tan;68452;75488;14374;44551
10;Car;lavender protocol;port Pike;79676;34178;85740;transmitting;Cross-platform Shoes open-source;Granite Switchable;44292;43656;34180;26900
