id;code;num_enreg;date_traitement;type_credit;objet_credit;montant_credit_demande;duree_credit_demande;taux_interet_souhaite;nature_debiteur;pays_residence;ville;statut_juridique;sexe_debiteur;secteur_activite;taille_entreprise;decision;motif_rejet;date_credit;montant_credit_accorde;duree_credit_accorde;periodicite_remboursement;taux_interet_applique;montant_interet;montant_charges;montant_commission;autres_commissions
1;Infrastructure;neural;2020-06-14T08:15:34;27362;79695;14478;43249;ADP;Licensed enhance optical;6637;68195;98375;syndicate;Kina Corporate;networks TCP;90230;SDD AGP;2020-06-13;59454;77457;35386;complexity copy;77693;18429;88098;31034
2;models;Computer alarm Ergonomic;2020-06-13T21:53:16;51427;94083;62641;44299;optical;HTTP sexy bypassing;55256;23544;84755;Drives;invoice bandwidth;Junctions;84148;Massachusetts Investment Account;2020-06-14;66622;81615;69711;tertiary;31129;207;50680;58953
3;forecast Plastic;high-level;2020-06-14T09:07:25;24152;97655;46697;74221;Communications Refined Plastic Bike;synthesize green;51267;66927;24456;index Assistant extensible;Uzbekistan Practical Steel Sausages;quantify Computers West Virginia;58492;Rustic Handmade Steel Chair;2020-06-13;54975;25241;40323;flexibility District haptic;89652;88625;98133;91316
4;Research Barbados Tunisian Dinar;convergence Re-contextualized Coordinator;2020-06-14T07:25:52;94109;13973;48402;76731;Administrator Fundamental;connecting application;42998;95777;85331;coherent array;Handcrafted;methodical quantifying;74532;Rubber Metal;2020-06-14;79163;83162;92945;deposit Soft Consultant;58848;73111;50773;15287
5;Liechtenstein Extensions Chicken;synergy Buckinghamshire;2020-06-14T00:01:41;92803;54322;92253;32648;Global;compress Cambridgeshire;2887;11721;11743;methodologies United States Minor Outlying Islands;Bedfordshire;India transitional indigo;26263;back up port hack;2020-06-14;62893;61112;42767;withdrawal evolve;90188;95054;18906;71598
6;Global Vermont Program;index Fields Club;2020-06-14T03:01:49;50332;73665;10528;7941;generate;Future Table back-end;84698;82618;84045;purple;alarm;extend Concrete;60660;Gorgeous Up-sized Direct;2020-06-14;49801;5031;72261;Idaho system B2B;83404;57349;97094;88170
7;invoice grow Checking Account;deposit;2020-06-13T21:24:04;34002;43546;83413;23414;bypass e-tailers;eyeballs;76815;22089;98929;feed Fantastic Sleek Rubber Bacon;open architecture;microchip;97653;Malawi Unions Salad;2020-06-14;26317;78977;60939;Ghana;56918;93729;56606;37633
8;Metrics;Mauritania Sleek Frozen Hat Infrastructure;2020-06-13T19:51:18;58821;94256;62498;1960;primary Handcrafted;primary;66752;20062;22991;Isle of Man Unbranded Granite Cheese;Sleek Credit Card Account context-sensitive;panel bluetooth back-end;18516;Agent Direct XML;2020-06-13;95392;53948;40756;Plastic;68893;2179;91743;17587
9;back-end Nakfa Games;tertiary Music;2020-06-14T01:16:04;80055;23601;96559;40091;Savings Account system Buckinghamshire;West Virginia Web;33000;79114;53458;Money Market Account capacitor THX;Monitored circuit payment;capacity Crossing Auto Loan Account;83254;Steel Designer;2020-06-14;87518;85597;67644;generating Sri Lanka;80610;41159;71440;6897
10;Officer deploy;Legacy;2020-06-14T03:39:37;52974;92900;81471;27577;Credit Card Account Isle Investor;alarm Programmable Profound;91262;68961;5770;input Toys;array;extensible;72179;Small functionalities;2020-06-14;68559;95866;76598;Salad;67730;15851;79531;25339
