id;code;num_enreg;nature_depot;pays_residence;ville;nature_deposant;statut_juridique;sexe_deposant;secteur_activite;taille_entreprise;date_depot;terme_depot;montant_depot;taux_renumeration
1;communities Borders Awesome Wooden Shirt;AGP monitoring;55129;6025;41108;54024;82481;7503;82041;60435;2020-06-14;88294;45958;41538
2;withdrawal Mill SAS;Technician JSON protocol;1674;38126;22037;68041;22301;142;88045;36010;2020-06-14;27112;3284;92741
3;Gloves Christmas Island AI;Automotive Ohio Associate;25395;79066;34149;20676;82068;45222;91992;14923;2020-06-13;38556;59620;9326
4;Lithuanian Litas;back up Central;99616;737;72878;98146;24566;51663;73084;733;2020-06-14;71847;32370;96333
5;Throughway Cross-group Intelligent Soft Salad;multi-byte Buckinghamshire;69086;3523;64774;76176;84243;8996;62201;75701;2020-06-14;36521;23484;78432
6;connect;Knoll FTP;52811;5847;43302;82292;35045;28918;8314;63615;2020-06-14;39081;14572;99669
7;Sports application;monetize;66822;99055;13253;3925;22629;97379;78619;63190;2020-06-14;77729;67865;84783
8;Applications Fully-configurable visionary;Unbranded;48449;54528;28669;1683;21290;24000;34962;45011;2020-06-14;78837;97983;89648
9;multi-byte;optical;13505;10953;76319;76353;7408;855;95686;35522;2020-06-13;97144;3039;79882
10;Causeway Berkshire open-source;applications Fort yellow;56715;44367;72418;43863;52160;68488;16629;37665;2020-06-14;78962;54010;19923
