id;code;num_enreg;nature_deposant;pays_residence;ville;montant_effet;date_escompte;date_echeance;nbre_jours;taux_interet;montant_charges
1;Poland;bandwidth-monitored Computer;94031;6686;98563;42982;2020-06-13;2020-06-14;37681;61841;43099
2;haptic payment;time-frame maroon;95077;54420;9795;54210;2020-06-14;2020-06-14;40612;65095;88437
3;recontextualize;Luxembourg Intelligent Fresh Hat;84944;89953;98316;11542;2020-06-14;2020-06-13;63577;57458;55420
4;mindshare Concrete;User-friendly;66431;29044;7451;9444;2020-06-14;2020-06-14;61736;59712;96799
5;deposit Kids Investment Account;invoice e-tailers International;22509;63093;22821;48520;2020-06-13;2020-06-13;97073;86054;9521
6;input system engine;Books;12545;9686;38571;50291;2020-06-14;2020-06-14;61872;92205;37862
7;generate;Money Market Account Home Loan Account District;19085;84818;18947;9739;2020-06-14;2020-06-13;27961;43281;11673
8;Orchestrator Cambridgeshire Fantastic Cotton Soap;users;37442;17434;53319;43013;2020-06-13;2020-06-14;37117;24733;7919
9;Ethiopia Incredible Granite Sausages;plum Advanced;5322;14315;32626;66982;2020-06-14;2020-06-14;56734;32924;39144
10;deposit Forward high-level;Supervisor;95847;68327;75342;31737;2020-06-13;2020-06-14;95885;19104;19790
