id;age;dev;ncp;inti;sde;cha;dou;ddd;ddc;nom_fic;date_arrete
1;users;Syrian Arab Republic 5th generation embrace;virtual Bolivar Fuerte;Boliviano Mvdol;20078;Gloves XML communities;2020-09-11;2020-09-12;2020-09-11;Lead Ergonomic Concrete Shirt Delaware;2020-09-11
2;panel;fuchsia;Auto Loan Account intuitive;Strategist Trail;59055;Web Administrator Sleek;2020-09-12;2020-09-12;2020-09-12;Intranet;2020-09-11
3;world-class robust;programming;Enterprise-wide FTP pink;synthesize scalable Toys;74399;Zimbabwe Dollar;2020-09-11;2020-09-11;2020-09-12;Jewelery Checking Account Engineer;2020-09-11
4;teal Washington;overriding fault-tolerant deposit;Missouri;Rustic benchmark;9778;Crossroad portal;2020-09-12;2020-09-11;2020-09-11;Music;2020-09-12
5;Liaison SAS;Small Cotton Bike;Gourde US Dollar Cook Islands 24/7;Viaduct mint green withdrawal;7044;Dynamic Berkshire;2020-09-12;2020-09-12;2020-09-12;Berkshire Manors Legacy;2020-09-12
6;Minnesota Generic Fresh Soap drive;Incredible clicks-and-mortar Tasty Soft Car;cross-media Niger Berkshire;CSS Bedfordshire;43818;turquoise invoice Frozen;2020-09-11;2020-09-12;2020-09-12;Branding;2020-09-12
7;invoice interactive RSS;Quality Flats scale;Sharable matrix programming;Trinidad and Tobago Dollar;94338;zero tolerance system;2020-09-12;2020-09-12;2020-09-11;Digitized protocol override;2020-09-11
8;Mobility;Toys alliance;RSS Facilitator;haptic Salad;34542;Outdoors discrete;2020-09-12;2020-09-12;2020-09-12;Comoros;2020-09-11
9;Licensed Concrete Shirt Principal;Practical Fresh Shirt bandwidth architecture;encoding Computer;invoice Personal Loan Account;42899;Assistant Home Loan Account;2020-09-11;2020-09-12;2020-09-11;Automotive;2020-09-11
10;New Caledonia Metrics deliver;Courts Spurs methodologies;Bike;online Sleek Soft Table Refined;61832;withdrawal;2020-09-12;2020-09-12;2020-09-12;deposit toolset Sausages;2020-09-11
