id;code_iso_devise;actif_billet_et_rcai;actif_maison_mere;actif_au_tresor;actif_client_deb;actif_effes_cpte;actif_effet_enc;passif_maison_mere;passif_au_tresor;passif_cli_cpte_ch;passif_cpt_apres_enc;date_chargement;date_dechargement;passif_cli_cpt_vue
1;AGP;20926;83990;69644;85929;68410;74359;8621;90177;41227;89367;2020-06-12T23:08:30;2020-06-12T23:54:22;2020-06-13T13:37:02
2;Kids;22606;60262;65242;54243;16897;16949;6024;44422;48891;49790;2020-06-13T04:16:07;2020-06-13T15:13:08;2020-06-13T00:03:54
3;index Illinois;41409;36322;65090;68955;10978;14593;70242;95987;54969;85404;2020-06-13T15:56:37;2020-06-13T22:10:46;2020-06-13T00:08:04
4;calculating Wooden Architect;30753;5137;17329;969;91755;23087;83582;92882;44731;84031;2020-06-13T01:11:04;2020-06-13T20:00:35;2020-06-13T20:00:08
5;Cambridgeshire optical;25666;10547;42598;7815;89277;23068;97169;35525;50742;23459;2020-06-13T21:19:36;2020-06-13T05:42:26;2020-06-13T11:37:03
6;Paradigm Ergonomic;28567;60532;22068;37800;10378;48730;79050;41138;81959;81697;2020-06-13T20:19:32;2020-06-13T14:00:46;2020-06-13T05:29:54
7;Investment Account;16327;57242;71094;45719;69174;55462;28680;31774;90306;15793;2020-06-13T05:39:56;2020-06-13T20:05:07;2020-06-13T10:40:54
8;architectures value-added Bahraini Dinar;80637;58696;31071;43188;76787;80197;15165;90182;88685;22245;2020-06-13T01:38:57;2020-06-13T19:40:57;2020-06-13T09:22:34
9;best-of-breed Licensed Fresh Salad;97798;11414;33660;56659;14276;72637;15254;80282;73626;10713;2020-06-13T22:17:02;2020-06-13T01:22:31;2020-06-13T22:03:34
10;Frozen Developer matrix;44350;69527;90753;16024;89770;12312;83542;74438;2867;32099;2020-06-13T20:07:45;2020-06-13T01:13:02;2020-06-13T11:52:18
