id;code_iso_devise;libelle_devise;acheteur_vendeur;achats_billet_e_tr;ventes_billet_etr;achats_chq_voy;ventes_chq_voy
1;Function-based Plastic indigo;empower Concrete process improvement;Spurs;12454;58176;11872;79493
2;open-source distributed Gorgeous;Brazilian Real;synthesizing override;54926;55809;62329;38096
3;Turnpike;mint green incentivize Georgia;Future Advanced;11168;66849;87601;51630
4;Marketing syndicate;tertiary;virtual;83871;24613;36945;79478
5;bandwidth;Metrics CFA Franc BEAC Web;Mississippi invoice;64949;87692;64003;52115
6;hacking;leverage navigate Fundamental;toolset Cotton Kansas;60491;37758;55060;9941
7;Right-sized;lime;Optimization;99230;27254;24049;85870
8;Washington Practical Plastic Ball;Rubber convergence;synthesizing Well;30363;14210;92812;65830
9;Garden Rustic synthesize;invoice relationships Mauritius;system engine Refined Steel Chicken Ohio;54070;21875;37514;3900
10;Investor Intelligent Frozen Cheese productize;Fish haptic Facilitator;vortals Cambridgeshire Designer;85506;16933;56422;79675
