id;code_iso_pays;libelle_pays;mntnos_cartes;mnt_cartes_etr
1;homogeneous;Front-line Vista;98458;52589
2;disintermediate Checking Account;niches transmitting redundant;92910;92556
3;Central Plastic;Home Loan Account;19726;3734
4;Director Guarani holistic;array Auto Loan Account Missouri;27390;37653
5;Saint Vincent and the Grenadines dynamic Corporate;background;1502;62456
6;Kids one-to-one Pizza;Generic;22904;98410
7;hierarchy;Fish;57749;62654
8;hack;Pass;5935;29013
9;Granite;platforms;10912;14869
10;Ergonomic SCSI HTTP;initiative Frozen innovative;8272;25913
