id;code_bqe;code_cb;description
1;Unbranded;generating auxiliary Soft;Applications
2;XML logistical;Direct digital online;SQL
3;PCI SQL;Georgia;deposit
4;Tasty Metal Gloves;quantifying IB;cyan Synergized Texas
5;Mill;Tanzanian Shilling Handmade Trinidad and Tobago;Maryland
6;Usability payment;turquoise auxiliary;deposit Buckinghamshire connect
7;Horizontal;Fully-configurable;lime bricks-and-clicks
8;United Arab Emirates fault-tolerant invoice;Credit Card Account strategize;bus
9;Mall killer;cross-platform;content-based Fiji Dollar
10;web-enabled middleware Berkshire;Auto Loan Account Sharable;Object-based
