id;description;code_cb;code_bqe
1;Checking Account;Sausages;zero defect
2;fault-tolerant;Tennessee Central;relationships New Caledonia
3;neutral connect paradigms;facilitate enhance Beauty;Liberia
4;experiences;Optimization Panama;non-volatile
5;Maryland local;Directives Expanded Table;empower Flats Chad
6;Practical Berkshire payment;Pizza Factors Books;Global Car
7;enable;Cambridgeshire;redefine
8;bypass;seize input protocol;Mission Savings Account
9;Borders withdrawal Drive;Refined national;District compress circuit
10;Maine withdrawal deposit;brand;Borders mint green sexy
