id;code_bqe;code_cb;description
1;withdrawal 3rd generation Indonesia;Analyst;Shoes
2;concept Incredible;Handcrafted Northern Mariana Islands;mobile
3;web services;quantifying Clothing;e-business Table
4;Electronics parse Granite;Kenya;Home Port
5;Tactics;override Cotton Avon;Gorgeous
6;navigating Advanced Bolivia;Lesotho deposit;hybrid EXE
7;leading edge Indiana;transmitting transmit;Health modular
8;Jewelery Cambridgeshire;white Generic;Mouse Bedfordshire
9;Algerian Dinar;Wooden cross-platform;ROI
10;Concrete;white redefine violet;Dynamic Rubber
