id;code_bqe;code_cb;description
1;Buckinghamshire blue Adaptive;Group Auto Loan Account virtual;migration communities
2;index Agent;Corner Customizable;withdrawal Louisiana
3;Web integrated;Industrial Buckinghamshire connecting;evolve
4;Steel calculate microchip;holistic Argentine Peso Associate;bypass
5;monitoring;Indian Rupee;Soap global
6;Tasty Concrete Mouse 1080p;Buckinghamshire;interface
7;sky blue application;Awesome Plastic Chips;orange Papua New Guinea
8;input;Avon;real-time
9;integrate Mexican Peso Mexican Unidad de Inversion (UDI);monitor Democratic People's Republic of Korea;quantifying circuit Principal
10;Marketing Generic Credit Card Account;Cheese Sausages Electronics;Advanced Reunion index
