id;code_bdu;code_cb;description
1;Dynamic system Checking Account;generate Salad backing up;silver Florida National
2;Moroccan Dirham;Unbranded iterate;alarm bus
3;teal haptic;5th generation;program withdrawal markets
4;standardization;blue Gloves program;Response
5;Bedfordshire Jewelery;Buckinghamshire Cheese;index Home Loan Account
6;Cambodia;Savings Account Health;Hat Avon
7;Lithuania Facilitator Ergonomic Soft Car;calculate Gorgeous Metal Tuna Enhanced;Coordinator real-time technologies
8;neural local area network Bedfordshire;sticky;Avon
9;engage Personal Loan Account help-desk;Maryland Unbranded Frozen Chicken;Shirt system Gorgeous Concrete Bacon
10;Boliviano Mvdol Berkshire;digital Beauty Cotton;THX
