id;code_bdu;code_cb;description
1;Tuna salmon intermediate;Iowa Auto Loan Account Representative;Ramp
2;SQL core Global;Money Market Account;bypass
3;tertiary;Plastic;Avon navigate
4;Factors Bedfordshire mobile;Puerto Rico pixel Producer;Generic Lao People's Democratic Republic
5;Human Developer;Fish;Graphic Interface Business-focused payment
6;Books Kids Home Loan Account;forecast program transmitter;Developer Oklahoma
7;Graphical User Interface;Director;Convertible Marks
8;Small Metal Shoes Human firewall;Architect compressing;partnerships Boliviano Mvdol
9;parallelism Gorgeous Corporate;Montana moratorium;innovative dedicated Florida
10;invoice;Integration Coordinator;responsive
