id;code_bdu;code_cb;description
1;Metal black;payment pixel;Towels parse
2;methodologies South Dakota Germany;Steel Sleek Buckinghamshire;Wooden back up
3;strategize applications;superstructure Stream architect;programming
4;Soft yellow client-server;Vision-oriented;aggregate
5;eyeballs monitor;scalable;connect
6;deliver quantify;B2C;Beauty Investor Computers
7;collaborative Fiji Dollar;Toys Small;application
8;Chicken Supervisor plum;Cotton Reunion;calculating
9;back-end functionalities;South Carolina;Savings Account eyeballs
10;Checking Account synthesizing contextually-based;indexing;Savings Account
