id;code_bdu;code_cb;description
1;Vermont;Credit Card Account;purple
2;purple;Future Investment Account;Facilitator Credit Card Account protocol
3;THX primary Credit Card Account;Intelligent Plastic Table Money Market Account ability;SDD paradigms Strategist
4;Lead;Plastic intuitive Yen;solutions Berkshire Soft
5;Car Versatile Jamaican Dollar;Vietnam;Program Down-sized
6;exuding GB Pizza;Boliviano Mvdol;expedite Saint Lucia auxiliary
7;California;ubiquitous integrate;matrix Wisconsin
8;Route;generate;Quality-focused generate
9;Enhanced Money Market Account;Home International;matrix feed
10;Cambridgeshire Savings Account;Credit Card Account;Hawaii intangible
